Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
Dover Hotel Ikeja mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellence Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOLLY FRIENDS HOTEL, Ajao Road, Off Adeniyi Jo...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabita Hotel,4.6,Restaurant,Wireless Internet,Wired Internet,Air Conditioning,24 Electricity,Bar/Lounge,Security,Adequate Parking,Car rental,Flatscreen TV,Laundry,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suite29 Hotel Ikeja Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles Park 1960 Hotels,,Restaurant,Security,24 Electricity,Air Conditioning,Adequate Parking,DSTV,Room service 24h,Flatscreen TV,POS,Wi-fi Internet Access,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dof Institute of Catering and Hotel Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elomas hotel and bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Amigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass hotel and suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Newcastle,5.3,Restaurant,Bar/Lounge,24 Electricity,Adequate Parking,Luggage Storage,Air Conditioning,Toiletries,Double bed,Security,concierge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
